App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Sentiment_Polarity,Size_MB
Candy Crush Soda Saga,GAME,4.4,6198563,67M,"100,000,000+",Free,0.0,Everyone,Casual,"July 10, 2018",1.118.4,4.1 and up,-0.057079365716447526,67.0
Clash of Clans,GAME,4.6,44891723,98M,"100,000,000+",Free,0.0,Everyone 10+,Strategy,"July 15, 2018",10.322.16,4.1 and up,0.03675568156290556,98.0
Block Puzzle Classic Legend !,GAME,4.2,17039,4.9M,"5,000,000+",Free,0.0,Everyone,Puzzle,"April 13, 2018",2.9,2.3.3 and up,0.15090698653198653,4.9
8 Ball Pool,GAME,4.5,14198297,52M,"100,000,000+",Free,0.0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,0.0012520071606734009,52.0
Bubble Witch 3 Saga,GAME,4.7,1732263,78M,"50,000,000+",Free,0.0,Everyone,Puzzle,"July 17, 2018",4.8.4,3.0 and up,0.06538467779287191,78.0
Granny,GAME,4.5,1135631,59M,"50,000,000+",Free,0.0,Teen,Arcade,"May 29, 2018",1.4.0.1,4.0 and up,0.06462316388125873,59.0
Angry Birds Classic,GAME,4.4,5566669,97M,"100,000,000+",Free,0.0,Everyone,Arcade,"May 24, 2018",7.9.3,4.1 and up,-0.007537394764251821,97.0
Flow Free,GAME,4.3,1295557,11M,"100,000,000+",Free,0.0,Everyone,Puzzle,"April 11, 2018",4.0,4.1 and up,0.07076862709337588,11.0
Barbie™ Fashion Closet,GAME,4.1,68057,85M,"10,000,000+",Free,0.0,Everyone,Casual;Creativity,"July 30, 2018",1.3.7,4.1 and up,0.048600288600288595,85.0
Candy Crush Jelly Saga,GAME,4.3,1300490,78M,"50,000,000+",Free,0.0,Everyone,Puzzle,"July 20, 2018",2.1.10,4.0 and up,-0.09233435751843284,78.0
Hill Climb Racing,GAME,4.4,8923587,63M,"100,000,000+",Free,0.0,Everyone,Racing,"July 2, 2018",1.37.2,4.2 and up,0.09099915000988382,63.0
Farm Heroes Saga,GAME,4.4,7614130,70M,"100,000,000+",Free,0.0,Everyone,Casual,"July 26, 2018",5.1.8,2.3 and up,-0.011810531860815964,70.0
Cut the Rope FULL FREE,GAME,4.4,2123381,49M,"100,000,000+",Free,0.0,Everyone,Puzzle,"July 5, 2018",3.7.2,4.1 and up,0.013067753887269178,49.0
8 Ball Pool,GAME,4.5,14198602,52M,"100,000,000+",Free,0.0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,0.0012520071606734009,52.0
Clash of Clans,GAME,4.6,44891723,98M,"100,000,000+",Free,0.0,Everyone 10+,Strategy,"July 15, 2018",10.322.16,4.1 and up,0.03675568156290556,98.0
Candy Crush Saga,GAME,4.4,22428456,74M,"500,000,000+",Free,0.0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,0.03106786541005292,74.0
Cooking Fever,GAME,4.5,3197865,82M,"100,000,000+",Free,0.0,Everyone,Arcade,"July 12, 2018",2.8.0,4.0.3 and up,-0.042331442605593655,82.0
Bubble Shooter,GAME,4.5,148895,46M,"10,000,000+",Free,0.0,Everyone,Casual,"July 17, 2018",1.20.1,4.0.3 and up,0.2536763602776534,46.0
Candy Crush Soda Saga,GAME,4.4,6198880,67M,"100,000,000+",Free,0.0,Everyone,Casual,"July 10, 2018",1.118.4,4.1 and up,-0.057079365716447526,67.0
Garena Free Fire,GAME,4.5,5465624,53M,"100,000,000+",Free,0.0,Teen,Action,"August 3, 2018",1.21.0,4.0.3 and up,0.071157869556908,53.0
Block Puzzle,GAME,4.6,59854,7.8M,"5,000,000+",Free,0.0,Everyone,Puzzle,"March 6, 2018",2.9,2.3 and up,0.035221354404960235,7.8
Clash Royale,GAME,4.6,23134775,97M,"100,000,000+",Free,0.0,Everyone 10+,Strategy,"June 27, 2018",2.3.2,4.1 and up,0.06915710869708802,97.0
Granny,GAME,4.5,1137271,59M,"50,000,000+",Free,0.0,Teen,Arcade,"May 29, 2018",1.4.0.1,4.0 and up,0.06462316388125873,59.0
Angry Birds Rio,GAME,4.4,2610622,46M,"100,000,000+",Free,0.0,Everyone,Arcade,"July 3, 2018",2.6.9,4.1 and up,-0.038924252279907035,46.0
Farm Heroes Saga,GAME,4.4,7614271,70M,"100,000,000+",Free,0.0,Everyone,Casual,"July 26, 2018",5.1.8,2.3 and up,-0.011810531860815964,70.0
Dream League Soccer 2018,GAME,4.6,9882639,74M,"100,000,000+",Free,0.0,Everyone,Sports,"July 16, 2018",5.064,4.4 and up,-0.0005180776014110008,74.0
Angry Birds Classic,GAME,4.4,5566805,97M,"100,000,000+",Free,0.0,Everyone,Arcade,"May 24, 2018",7.9.3,4.1 and up,-0.007537394764251821,97.0
Fruits Bomb,GAME,4.4,74673,17M,"10,000,000+",Free,0.0,Everyone,Casual,"July 6, 2018",3.3.3179,4.0.3 and up,0.20532335280753003,17.0
Flow Free,GAME,4.3,1295606,11M,"100,000,000+",Free,0.0,Everyone,Puzzle,"April 11, 2018",4.0,4.1 and up,0.07076862709337588,11.0
Farm Fruit Pop: Party Time,GAME,4.4,9305,14M,"1,000,000+",Free,0.0,Everyone,Casual,"August 2, 2018",1.9.2,4.0.3 and up,0.16502772177419353,14.0
Helix Jump,GAME,4.2,1498648,33M,"100,000,000+",Free,0.0,Everyone,Action,"April 9, 2018",1.0.6,4.1 and up,0.09966548025873484,33.0
Candy Crush Saga,GAME,4.4,22428456,74M,"500,000,000+",Free,0.0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,0.03106786541005292,74.0
Granny,GAME,4.5,1137267,59M,"50,000,000+",Free,0.0,Teen,Arcade,"May 29, 2018",1.4.0.1,4.0 and up,0.06462316388125873,59.0
8 Ball Pool,GAME,4.5,14200344,52M,"100,000,000+",Free,0.0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,0.0012520071606734009,52.0
Color by Number – New Coloring Book,GAME,4.7,141529,24M,"5,000,000+",Free,0.0,Everyone 10+,Board,"August 1, 2018",2.0.6,4.1 and up,0.16885633604383601,24.0
Extreme Car Driving Simulator,GAME,4.3,2251012,52M,"100,000,000+",Free,0.0,Everyone,Racing,"May 3, 2018",4.17.2,4.0 and up,-0.07361111111111115,52.0
Color Road,GAME,4.1,84911,71M,"10,000,000+",Free,0.0,Everyone,Arcade,"July 19, 2018",2.5.0,4.1 and up,-0.05935675703532847,71.0
Draw In,GAME,4.2,46416,73M,"10,000,000+",Free,0.0,Everyone,Arcade,"July 23, 2018",1.0.8,4.1 and up,-0.1341666666666666,73.0
Baseball Boy!,GAME,3.4,148177,78M,"10,000,000+",Free,0.0,Everyone,Arcade,"July 27, 2018",1.7.2,4.1 and up,0.012272397197141398,78.0
Hello Stars,GAME,4.6,101686,31M,"10,000,000+",Free,0.0,Everyone,Puzzle,"August 4, 2018",1.8.2,4.1 and up,0.16833037194977493,31.0
Helix Jump,GAME,4.2,1499373,33M,"100,000,000+",Free,0.0,Everyone,Action,"April 9, 2018",1.0.6,4.1 and up,0.09966548025873484,33.0
Flip the Gun - Simulator Game,GAME,4.2,195558,86M,"10,000,000+",Free,0.0,Everyone,Arcade,"July 26, 2018",1.2,5.0 and up,-0.008393065268065292,86.0
Grim Soul: Dark Fantasy Survival,GAME,4.5,189773,95M,"5,000,000+",Free,0.0,Teen,Role Playing,"July 18, 2018",1.1.1,4.1 and up,0.05230612867822011,95.0
DRAGON BALL LEGENDS,GAME,4.6,337752,48M,"5,000,000+",Free,0.0,Teen,Action,"August 3, 2018",1.11.0,6.0 and up,0.0995493397768312,48.0
Hero Hunters,GAME,4.4,70747,99M,"5,000,000+",Free,0.0,Teen,Action,"July 31, 2018",1.7,4.4 and up,-0.021667189003126506,99.0
Cooking Madness - A Chef's Restaurant Games,GAME,4.7,358817,49M,"10,000,000+",Free,0.0,Everyone,Arcade,"July 30, 2018",1.2.2,4.1 and up,0.013550644982006574,49.0
Dino War: Rise of Beasts,GAME,4.1,18996,81M,"1,000,000+",Free,0.0,Teen,Strategy,"August 1, 2018",1.5.2,4.1 and up,0.059137009742168456,81.0
Guns of Glory,GAME,4.0,120592,77M,"10,000,000+",Free,0.0,Everyone 10+,Strategy,"July 31, 2018",2.0.2,4.0.3 and up,-0.1420604256854257,77.0
Chapters: Interactive Stories,GAME,4.5,73539,96M,"1,000,000+",Free,0.0,Mature 17+,Role Playing,"August 2, 2018",1.3.3,4.3 and up,0.14904506568386022,96.0
Honkai Impact 3rd,GAME,4.7,59017,82M,"1,000,000+",Free,0.0,Teen,Action,"July 3, 2018",2.2.1,4.3 and up,0.10148298021520948,82.0
DRAGON BALL LEGENDS,GAME,4.6,337913,48M,"5,000,000+",Free,0.0,Teen,Action,"August 3, 2018",1.11.0,6.0 and up,0.0995493397768312,48.0
Candy Crush Saga,GAME,4.4,22429716,74M,"500,000,000+",Free,0.0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,0.03106786541005292,74.0
Angry Birds 2,GAME,4.6,3883589,57M,"100,000,000+",Free,0.0,Everyone,Casual,"July 26, 2018",2.21.1,4.1 and up,0.002282199760648026,57.0
8 Ball Pool,GAME,4.5,14200550,52M,"100,000,000+",Free,0.0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,0.0012520071606734009,52.0
Fallout Shelter,GAME,4.6,2719142,25M,"10,000,000+",Free,0.0,Teen,Simulation,"June 11, 2018",1.13.12,4.1 and up,0.17023214882331378,25.0
Choices: Stories You Play,GAME,4.6,807338,93M,"10,000,000+",Free,0.0,Teen,Simulation,"July 30, 2018",2.3.5,4.0.3 and up,0.03367840233861161,93.0
Game of Thrones: Conquest™,GAME,4.0,90218,97M,"1,000,000+",Free,0.0,Teen,Strategy,"August 3, 2018",1.8.225278,6.0 and up,0.1988888888888889,97.0
FINAL FANTASY BRAVE EXVIUS,GAME,4.6,745684,83M,"5,000,000+",Free,0.0,Teen,Role Playing,"July 17, 2018",3.0.2,4.0.3 and up,0.07081548550701007,83.0
Fate/Grand Order (English),GAME,4.4,16601,55M,"500,000+",Free,0.0,Teen,Role Playing,"July 26, 2018",1.18.0,4.0 and up,0.06088093070124321,55.0
Honkai Impact 3rd,GAME,4.7,59017,82M,"1,000,000+",Free,0.0,Teen,Action,"July 3, 2018",2.2.1,4.3 and up,0.10148298021520948,82.0
Candy Crush Saga,GAME,4.4,22430188,74M,"500,000,000+",Free,0.0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,0.03106786541005292,74.0
8 Ball Pool,GAME,4.5,14201891,52M,"100,000,000+",Free,0.0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,0.0012520071606734009,52.0
Candy Crush Soda Saga,GAME,4.4,6199095,67M,"100,000,000+",Free,0.0,Everyone,Casual,"July 10, 2018",1.118.4,4.1 and up,-0.057079365716447526,67.0
Bubble Shooter,GAME,4.5,148945,46M,"10,000,000+",Free,0.0,Everyone,Casual,"July 17, 2018",1.20.1,4.0.3 and up,0.2536763602776534,46.0
Clash Royale,GAME,4.6,23136735,97M,"100,000,000+",Free,0.0,Everyone 10+,Strategy,"June 27, 2018",2.3.2,4.1 and up,0.06915710869708802,97.0
Clash of Clans,GAME,4.6,44893888,98M,"100,000,000+",Free,0.0,Everyone 10+,Strategy,"July 15, 2018",10.322.16,4.1 and up,0.03675568156290556,98.0
Farm Heroes Saga,GAME,4.4,7614415,70M,"100,000,000+",Free,0.0,Everyone,Casual,"July 26, 2018",5.1.8,2.3 and up,-0.011810531860815964,70.0
Block Puzzle,GAME,4.6,59907,7.8M,"5,000,000+",Free,0.0,Everyone,Puzzle,"March 6, 2018",2.9,2.3 and up,0.035221354404960235,7.8
Flow Free,GAME,4.3,1295625,11M,"100,000,000+",Free,0.0,Everyone,Puzzle,"April 11, 2018",4.0,4.1 and up,0.07076862709337588,11.0
Cooking Fever,GAME,4.5,3198176,82M,"100,000,000+",Free,0.0,Everyone,Arcade,"July 12, 2018",2.8.0,4.0.3 and up,-0.042331442605593655,82.0
Granny,GAME,4.5,1138239,59M,"50,000,000+",Free,0.0,Teen,Arcade,"May 29, 2018",1.4.0.1,4.0 and up,0.06462316388125873,59.0
Dream League Soccer 2018,GAME,4.6,9883806,74M,"100,000,000+",Free,0.0,Everyone,Sports,"July 16, 2018",5.064,4.4 and up,-0.0005180776014110008,74.0
Fruits Bomb,GAME,4.4,74695,17M,"10,000,000+",Free,0.0,Everyone,Casual,"July 6, 2018",3.3.3179,4.0.3 and up,0.20532335280753003,17.0
Angry Birds Classic,GAME,4.4,5566889,97M,"100,000,000+",Free,0.0,Everyone,Arcade,"May 24, 2018",7.9.3,4.1 and up,-0.007537394764251821,97.0
Hill Climb Racing,GAME,4.4,8923818,63M,"100,000,000+",Free,0.0,Everyone,Racing,"July 2, 2018",1.37.2,4.2 and up,0.09099915000988382,63.0
Garena Free Fire,GAME,4.5,5476569,53M,"100,000,000+",Free,0.0,Teen,Action,"August 3, 2018",1.21.0,4.0.3 and up,0.071157869556908,53.0
Helix Jump,GAME,4.2,1500999,33M,"100,000,000+",Free,0.0,Everyone,Action,"April 9, 2018",1.0.6,4.1 and up,0.09966548025873484,33.0
Crossy Road,GAME,4.5,4230886,60M,"100,000,000+",Free,0.0,Everyone,Action,"August 1, 2018",3.1.0,5.0 and up,0.21585128145848675,60.0
Dude Perfect 2,GAME,4.5,401425,70M,"10,000,000+",Free,0.0,Everyone,Action,"April 12, 2017",1.6.1,4.0.3 and up,0.1169023559743807,70.0
Alto's Adventure,GAME,4.6,515657,63M,"10,000,000+",Free,0.0,Everyone,Action,"June 5, 2018",1.7.1,4.0 and up,0.03982694182829145,63.0
DEER HUNTER 2018,GAME,4.3,955656,82M,"10,000,000+",Free,0.0,Teen,Action,"June 26, 2018",5.1.2,3.0 and up,-0.3833333333333333,82.0
DRAGON BALL LEGENDS,GAME,4.6,337913,48M,"5,000,000+",Free,0.0,Teen,Action,"August 3, 2018",1.11.0,6.0 and up,0.0995493397768312,48.0
Anger of stick 5 : zombie,GAME,4.5,549039,23M,"50,000,000+",Free,0.0,Teen,Action,"August 3, 2018",1.1.5,2.3 and up,0.11944444444444441,23.0
DINO HUNTER: DEADLY SHORES,GAME,4.4,1381820,54M,"10,000,000+",Free,0.0,Teen,Action,"March 14, 2017",3.1.1,3.0 and up,0.022312567688483907,54.0
Agar.io,GAME,4.2,3816799,32M,"100,000,000+",Free,0.0,Everyone,Action,"July 23, 2018",2.2.8,4.0.3 and up,-0.06060223338072603,32.0
Garena Free Fire,GAME,4.5,5476569,53M,"100,000,000+",Free,0.0,Teen,Action,"August 3, 2018",1.21.0,4.0.3 and up,0.071157869556908,53.0
Battlelands Royale,GAME,4.4,105620,61M,"1,000,000+",Free,0.0,Everyone 10+,Action,"July 16, 2018",0.5.8,4.1 and up,0.040406194848324126,61.0
Dragon Hills,GAME,4.5,354373,66M,"10,000,000+",Free,0.0,Everyone 10+,Action,"October 12, 2017",1.2.7,4.1 and up,0.040340518278018246,66.0
DC Super Hero Girls™,GAME,4.3,43055,95M,"5,000,000+",Free,0.0,Everyone,Action;Action & Adventure,"June 29, 2018",2.8.0,4.0 and up,0.33400902406417116,95.0
Dinosaur Simulator: Dino World,GAME,4.0,26649,66M,"5,000,000+",Free,0.0,Teen,Action,"August 5, 2018",1.2,4.2 and up,-0.01314102564102564,66.0
GUNSHIP BATTLE: Helicopter 3D,GAME,4.3,2151039,75M,"50,000,000+",Free,0.0,Teen,Action,"August 1, 2018",2.6.61,4.0.3 and up,0.02222591795753969,75.0
Candy Crush Saga,GAME,4.4,22430188,74M,"500,000,000+",Free,0.0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,0.03106786541005292,74.0
Block Puzzle,GAME,4.6,59907,7.8M,"5,000,000+",Free,0.0,Everyone,Puzzle,"March 6, 2018",2.9,2.3 and up,0.035221354404960235,7.8
Helix Jump,GAME,4.2,1500622,33M,"100,000,000+",Free,0.0,Everyone,Action,"April 9, 2018",1.0.6,4.1 and up,0.09966548025873484,33.0
8 Ball Pool,GAME,4.5,14201604,52M,"100,000,000+",Free,0.0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,0.0012520071606734009,52.0
Bubble Shooter,GAME,4.5,148990,46M,"10,000,000+",Free,0.0,Everyone,Casual,"July 17, 2018",1.20.1,4.0.3 and up,0.2536763602776534,46.0
Bubble Shooter Genies,GAME,4.5,26985,41M,"5,000,000+",Free,0.0,Everyone,Casual,"June 4, 2018",1.9.1,4.0.3 and up,0.04798845598845597,41.0
Blossom Blast Saga,GAME,4.5,1125438,63M,"10,000,000+",Free,0.0,Everyone,Casual,"July 5, 2018",57.0.8,4.0.3 and up,0.005714461079044404,63.0
Hill Climb Racing,GAME,4.4,8923847,63M,"100,000,000+",Free,0.0,Everyone,Racing,"July 2, 2018",1.37.2,4.2 and up,0.09099915000988382,63.0
Candy Bomb,GAME,4.4,42145,20M,"10,000,000+",Free,0.0,Everyone,Casual;Brain Games,"July 4, 2018",2.9.3181,4.0.3 and up,0.3274031986531986,20.0
Flow Free,GAME,4.3,1295625,11M,"100,000,000+",Free,0.0,Everyone,Puzzle,"April 11, 2018",4.0,4.1 and up,0.07076862709337588,11.0
Gems or jewels ?,GAME,4.7,171448,13M,"10,000,000+",Free,0.0,Teen,Puzzle,"August 3, 2018",1.0.109,4.0 and up,0.14020820036445036,13.0
Angry Birds Rio,GAME,4.4,2610680,46M,"100,000,000+",Free,0.0,Everyone,Arcade,"July 3, 2018",2.6.9,4.1 and up,-0.038924252279907035,46.0
Candy Crush Jelly Saga,GAME,4.3,1300619,78M,"50,000,000+",Free,0.0,Everyone,Puzzle,"July 20, 2018",2.1.10,4.0 and up,-0.09233435751843284,78.0
Cut the Rope FULL FREE,GAME,4.4,2123793,49M,"100,000,000+",Free,0.0,Everyone,Puzzle,"July 5, 2018",3.7.2,4.1 and up,0.013067753887269178,49.0
Angry Birds Classic,GAME,4.4,5566908,97M,"100,000,000+",Free,0.0,Everyone,Arcade,"May 24, 2018",7.9.3,4.1 and up,-0.007537394764251821,97.0
Fruit Block - Puzzle Legend,GAME,4.6,125647,33M,"10,000,000+",Free,0.0,Everyone,Casual,"July 23, 2018",60,4.1 and up,-0.1833333333333333,33.0
1LINE – One Line with One Touch,GAME,4.6,214878,10M,"10,000,000+",Free,0.0,Everyone,Board,"August 3, 2018",2.0.4,4.1 and up,0.19629029961266803,10.0
Block Puzzle Classic Legend !,GAME,4.2,17044,4.9M,"5,000,000+",Free,0.0,Everyone,Puzzle,"April 13, 2018",2.9,2.3.3 and up,0.15090698653198653,4.9
Farm Heroes Saga,GAME,4.4,7614407,70M,"100,000,000+",Free,0.0,Everyone,Casual,"July 26, 2018",5.1.8,2.3 and up,-0.011810531860815964,70.0
Dog Run - Pet Dog Simulator,GAME,4.7,48615,24M,"10,000,000+",Free,0.0,Everyone,Simulation;Action & Adventure,"May 22, 2018",1.4.12,4.1 and up,0.13709855403348553,24.0
Candy Bomb,FAMILY,4.4,42145,20M,"10,000,000+",Free,0.0,Everyone,Casual;Brain Games,"July 4, 2018",2.9.3181,4.0.3 and up,0.3274031986531986,20.0
Coloring & Learn,FAMILY,4.4,12753,51M,"5,000,000+",Free,0.0,Everyone,Educational;Creativity,"July 17, 2018",1.49,4.0.3 and up,0.41382226874003186,51.0
Educational Games 4 Kids,FAMILY,4.3,11618,39M,"5,000,000+",Free,0.0,Everyone,Educational;Education,"April 3, 2018",2.4,4.1 and up,0.1943595257082099,39.0
Candy Pop Story,FAMILY,4.7,12948,23M,"1,000,000+",Free,0.0,Everyone,Casual;Brain Games,"May 24, 2018",2.0.3165,2.3 and up,0.04241514756944442,23.0
Hello Kitty Nail Salon,FAMILY,4.2,369378,24M,"50,000,000+",Free,0.0,Everyone,Casual;Pretend Play,"April 17, 2018",1.5,4.1 and up,0.057448088948088935,24.0
Candy Smash,FAMILY,4.5,11436,15M,"1,000,000+",Free,0.0,Everyone,Casual;Brain Games,"April 17, 2018",2.2.3169,4.0.3 and up,0.1572673611111111,15.0
Happy Fruits Bomb - Cube Blast,FAMILY,4.5,2150,20M,"500,000+",Free,0.0,Everyone,Casual;Brain Games,"February 1, 2018",1.0.3122,4.0.3 and up,0.023922799422799405,20.0
Dog Run - Pet Dog Simulator,FAMILY,4.7,48615,24M,"10,000,000+",Free,0.0,Everyone,Simulation;Action & Adventure,"May 22, 2018",1.4.12,4.1 and up,0.13709855403348553,24.0
Coloring book moana,FAMILY,3.9,974,14M,"500,000+",Free,0.0,Everyone,Art & Design;Pretend Play,"January 15, 2018",2.0.0,4.0.3 and up,0.15265151515151515,14.0
Baby Panda Care,FAMILY,4.2,108795,49M,"10,000,000+",Free,0.0,Everyone,Educational;Pretend Play,"June 15, 2018",8.25.10.00,4.0.3 and up,0.17201893939393936,49.0
Bubble Shooter,FAMILY,4.4,59843,20M,"5,000,000+",Free,0.0,Everyone,Puzzle;Brain Games,"January 9, 2018",2.3.3122,2.3 and up,0.2536763602776534,20.0
Baby puzzles,FAMILY,4.3,11950,19M,"5,000,000+",Free,0.0,Everyone,Educational;Education,"July 12, 2018",6.1,4.0.3 and up,0.07949984276689925,19.0
Garden Fruit Legend,FAMILY,4.6,4289,33M,"500,000+",Free,0.0,Everyone,Casual;Brain Games,"July 31, 2018",3.5.3183,4.0.3 and up,0.24278846153846154,33.0
Barbie™ Fashion Closet,FAMILY,4.1,68286,85M,"10,000,000+",Free,0.0,Everyone,Casual;Creativity,"July 30, 2018",1.3.7,4.1 and up,0.048600288600288595,85.0
Candy Day,FAMILY,4.5,11716,48M,"1,000,000+",Free,0.0,Everyone,Casual;Brain Games,"August 3, 2018",8.4.3180,4.0 and up,0.19246436403508768,48.0
Barbie Magical Fashion,FAMILY,4.0,328619,15M,"10,000,000+",Free,0.0,Everyone,Casual;Creativity,"October 6, 2017",2.2,4.1 and up,0.08473276471512356,15.0
Farming Simulator 14,FAMILY,4.5,530854,51M,"10,000,000+",Free,0.0,Everyone,Simulation;Action & Adventure,"July 17, 2017",1.4.4,2.3.3 and up,0.05812792225476048,51.0
Educational Games for Kids,FAMILY,4.5,7050,24M,"1,000,000+",Free,0.0,Everyone,Educational;Education,"May 27, 2018",2.0,4.0 and up,0.3065564373897707,24.0
Baby Tiger Care - My Cute Virtual Pet Friend,FAMILY,4.5,432,63M,"100,000+",Free,0.0,Everyone 10+,Educational;Education,"July 27, 2018",1.0.89,4.4 and up,0.19518518518518518,63.0
Drawing for Kids Learning Games for Toddlers age 3,FAMILY,4.6,29436,43M,"1,000,000+",Free,0.0,Everyone,Educational;Education,"March 21, 2018",2.0.5.0,4.1 and up,0.3866666666666666,43.0
Baby Panda’s Juice Shop,FAMILY,4.5,19230,45M,"5,000,000+",Free,0.0,Everyone,Educational;Brain Games,"July 12, 2018",8.25.10.01,4.0.3 and up,0.10833333333333328,45.0
Dr. Panda Restaurant 3,FAMILY,4.2,11126,91M,"1,000,000+",Free,0.0,Everyone,Educational;Pretend Play,"March 23, 2018",1.6.4,4.1 and up,-0.09746777119938886,91.0
Baby ABC in box! Kids alphabet games for toddlers!,FAMILY,4.6,9652,53M,"1,000,000+",Free,0.0,Everyone,Educational;Education,"July 16, 2018",2.0.7.4,4.1 and up,0.28577512577512576,53.0
Dr. Panda Town: Vacation,FAMILY,3.8,10366,78M,"1,000,000+",Free,0.0,Everyone,Education;Pretend Play,"July 24, 2018",1.2.1,4.1 and up,0.09280715004396645,78.0
Fuzzy Seasons: Animal Forest,FAMILY,4.8,12137,63M,"100,000+",Free,0.0,Everyone 10+,Simulation;Pretend Play,"August 6, 2018",149,4.1 and up,0.16893322575242212,63.0
Dog Run - Pet Dog Simulator,FAMILY,4.7,48701,24M,"10,000,000+",Free,0.0,Everyone,Simulation;Action & Adventure,"May 22, 2018",1.4.12,4.1 and up,0.13709855403348553,24.0
Farming Simulator 14,FAMILY,4.5,530904,51M,"10,000,000+",Free,0.0,Everyone,Simulation;Action & Adventure,"July 17, 2017",1.4.4,2.3.3 and up,0.05812792225476048,51.0
Extreme Racing 2 - Real driving RC cars game!,FAMILY,4.3,4207,93M,"500,000+",Free,0.0,Everyone,Racing;Action & Adventure,"August 31, 2017",1.1.9,4.1 and up,0.02366732804232804,93.0
Disney Magic Kingdoms: Build Your Own Magical Park,FAMILY,4.3,472584,91M,"10,000,000+",Free,0.0,Everyone,Simulation;Action & Adventure,"August 2, 2018",3.2.0h,4.0.3 and up,0.08702965526958688,91.0
Equestria Girls,FAMILY,4.3,392596,53M,"10,000,000+",Free,0.0,Everyone,Role Playing;Action & Adventure,"July 22, 2016",37893,4.0 and up,0.04380837742165866,53.0
DC Super Hero Girls™,FAMILY,4.3,43060,95M,"5,000,000+",Free,0.0,Everyone,Action;Action & Adventure,"June 29, 2018",2.8.0,4.0 and up,0.33400902406417116,95.0
Doctor Pets,FAMILY,4.2,23060,21M,"1,000,000+",Free,0.0,Everyone,Educational;Education,"July 26, 2018",1.19,4.1 and up,0.16880208333333332,21.0
DC Super Hero Girls™,FAMILY,4.3,43060,95M,"5,000,000+",Free,0.0,Everyone,Action;Action & Adventure,"June 29, 2018",2.8.0,4.0 and up,0.33400902406417116,95.0
Disney Magic Kingdoms: Build Your Own Magical Park,FAMILY,4.3,472584,91M,"10,000,000+",Free,0.0,Everyone,Simulation;Action & Adventure,"August 2, 2018",3.2.0h,4.0.3 and up,0.08702965526958688,91.0
Frozen Free Fall,FAMILY,4.3,1574197,37M,"50,000,000+",Free,0.0,Everyone,Puzzle;Action & Adventure,"July 27, 2018",6.7.0,4.2 and up,0.06010569985569984,37.0
Dominos Game ✔️,FAMILY,4.1,2903,16M,"1,000,000+",Free,0.0,Everyone,Board;Brain Games,"July 5, 2018",5.2,4.1 and up,0.023215534465534458,16.0
Checkers ✔️,FAMILY,4.1,3617,19M,"1,000,000+",Free,0.0,Everyone,Board;Brain Games,"July 24, 2018",4.0.2,4.1 and up,0.06483468113676447,19.0
All-in-One Mahjong 3 FREE,FAMILY,4.5,566,17M,"50,000+",Free,0.0,Everyone,Board;Brain Games,"June 13, 2018",20180609,4.0 and up,0.5,17.0
DreamWorks Friends,FAMILY,3.6,1042,48M,"100,000+",Free,0.0,Everyone,Role Playing;Pretend Play,"August 4, 2017",2.5,4.3 and up,-0.0017880828486889144,48.0
DreamWorks Friends,FAMILY,3.6,1042,48M,"100,000+",Free,0.0,Everyone,Role Playing;Pretend Play,"August 4, 2017",2.5,4.3 and up,-0.0017880828486889144,48.0
Barbie Life™,FAMILY,3.9,133117,63M,"5,000,000+",Free,0.0,Everyone,Casual;Pretend Play,"July 12, 2018",2.6,4.1 and up,0.16261297182349813,63.0
Baby Panda Care,FAMILY,4.2,108795,49M,"10,000,000+",Free,0.0,Everyone,Educational;Pretend Play,"June 15, 2018",8.25.10.00,4.0.3 and up,0.17201893939393936,49.0
Hello Kitty Lunchbox,FAMILY,4.2,51838,15M,"5,000,000+",Free,0.0,Everyone,Casual;Creativity,"November 21, 2017",1.6,4.1 and up,-0.05271838659706308,15.0
COOKING MAMA Let's Cook!,FAMILY,4.3,528745,59M,"10,000,000+",Free,0.0,Everyone,Educational;Pretend Play,"July 26, 2018",1.38.0,4.1 and up,0.21892208651137224,59.0
Equestria Girls,FAMILY,4.3,392596,53M,"10,000,000+",Free,0.0,Everyone,Role Playing;Action & Adventure,"July 22, 2016",37893,4.0 and up,0.04380837742165866,53.0
Frozen Free Fall,FAMILY,4.3,1574204,37M,"50,000,000+",Free,0.0,Everyone,Puzzle;Action & Adventure,"July 27, 2018",6.7.0,4.2 and up,0.06010569985569984,37.0
